,Sigla da UF,Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,Nome do Município_y,cactus
0,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2005,163.95,3.2,,,Abaiara,não cactus
1,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2007,160.48,3.4,205.61,3.3,Abaiara,não cactus
2,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2009,268.85,6.7,332.84,5.7,Abaiara,não cactus
3,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2011,180.6,4.5,231.44,4.2,Abaiara,não cactus
4,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2013,255.21,6.9,,,Abaiara,não cactus
5,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2015,236.83,6.8,233.97,4.4,Abaiara,não cactus
6,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2017,226.24,6.2,251.78,5.1,Abaiara,não cactus
7,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2019,240.92,6.8,252.62,5.0,Abaiara,não cactus
8,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2005,,,,,Abaiara,não cactus
9,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2007,,,,,Abaiara,não cactus
10,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2009,225.71,5.5,,,Abaiara,não cactus
11,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2011,204.55,5.2,291.3,4.9,Abaiara,não cactus
12,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2013,,,,,Abaiara,não cactus
13,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2015,,,,,Abaiara,não cactus
14,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2017,257.23,6.8,225.77,4.3,Abaiara,não cactus
15,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2019,232.75,6.4,244.7,4.7,Abaiara,não cactus
16,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2005,,,219.79,3.4,Abaiara,não cactus
17,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2007,167.13,3.5,,,Abaiara,não cactus
18,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2009,253.3,6.4,,,Abaiara,não cactus
19,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2011,239.04,6.2,257.24,4.4,Abaiara,não cactus
20,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2013,262.47,7.2,251.61,4.4,Abaiara,não cactus
21,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2015,196.32,5.1,220.25,3.9,Abaiara,não cactus
22,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2017,213.09,5.5,228.67,4.2,Abaiara,não cactus
23,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2019,221.67,5.8,237.82,4.2,Abaiara,não cactus
24,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2005,,,,,Acarape,não cactus
25,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2007,,,,,Acarape,não cactus
26,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2009,154.54,3.1,216.63,3.0,Acarape,não cactus
27,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2011,213.24,5.2,,,Acarape,não cactus
28,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2013,173.55,4.0,,,Acarape,não cactus
29,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2015,,,,,Acarape,não cactus
30,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2017,225.9,5.9,229.74,4.5,Acarape,não cactus
31,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2019,213.32,5.5,252.55,4.9,Acarape,não cactus
32,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2005,,,,,Acarape,não cactus
33,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2007,,,,,Acarape,não cactus
34,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2009,146.25,2.6,,,Acarape,não cactus
35,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2011,184.61,4.0,,,Acarape,não cactus
36,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2013,,,242.62,4.3,Acarape,não cactus
37,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2015,209.48,5.6,240.6,4.5,Acarape,não cactus
38,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2017,203.62,5.2,263.15,4.8,Acarape,não cactus
39,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2019,212.38,5.5,238.11,4.4,Acarape,não cactus
40,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2005,,,,,Acarape,não cactus
41,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2007,,,,,Acarape,não cactus
42,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2009,,,,,Acarape,não cactus
43,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2011,,,,,Acarape,não cactus
44,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2013,,,,,Acarape,não cactus
45,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2015,,,,,Acarape,não cactus
46,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2017,225.22,6.2,269.16,5.3,Acarape,não cactus
47,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2019,231.09,6.2,270.76,4.8,Acarape,não cactus
48,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2005,166.43,2.3,,,Acarape,não cactus
49,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2007,170.34,3.1,,,Acarape,não cactus
50,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2009,165.25,2.9,,,Acarape,não cactus
51,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2011,171.39,3.4,,,Acarape,não cactus
52,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2013,170.76,3.8,,,Acarape,não cactus
53,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2015,,5.0,,,Acarape,não cactus
54,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2017,204.11,5.2,,,Acarape,não cactus
55,CE,2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2019,194.57,4.8,,,Acarape,não cactus
56,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2005,,,,,Acarape,não cactus
57,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2007,162.04,2.6,,,Acarape,não cactus
58,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2009,180.57,3.8,,,Acarape,não cactus
59,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2011,208.48,4.9,,,Acarape,não cactus
60,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2013,198.74,4.6,,,Acarape,não cactus
61,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2015,,,273.76,5.0,Acarape,não cactus
62,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2017,219.94,5.8,252.61,4.9,Acarape,não cactus
63,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2019,232.54,6.0,264.41,5.2,Acarape,não cactus
64,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2005,170.27,2.5,222.3,2.3,Acarape,não cactus
65,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2007,173.31,2.6,227.49,3.4,Acarape,não cactus
66,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2009,170.42,,214.29,3.6,Acarape,não cactus
67,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2011,,,214.32,2.7,Acarape,não cactus
68,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2013,,,233.08,3.0,Acarape,não cactus
69,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2015,,,245.22,3.5,Acarape,não cactus
70,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2017,,,,,Acarape,não cactus
71,CE,2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2019,,,273.49,4.6,Acarape,não cactus
72,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2005,,,,,Acarape,não cactus
73,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2007,,,,,Acarape,não cactus
74,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2009,,,,,Acarape,não cactus
75,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2011,,,,,Acarape,não cactus
76,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2013,,,,,Acarape,não cactus
77,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2015,,,,,Acarape,não cactus
78,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2017,241.76,6.7,,,Acarape,não cactus
79,CE,2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2019,217.56,5.3,248.95,4.4,Acarape,não cactus
80,CE,2300150,Acarape,23253940,Jose Neves De Castro Eef,Municipal,2005,,,,,Acarape,não cactus
81,CE,2300150,Acarape,23253940,Jose Neves De Castro Eef,Municipal,2007,,,,,Acarape,não cactus
