,Sigla da UF,Código do Município,Nome do Município,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,cactus,ID_PROVA_BRASIL,NIVEL_SOCIO_ECONOMICO,MEDIA_5EF_MT,MEDIA_9EF_MT
0,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2005,163.95,3.2,,,não cactus,2017,Grupo 2,226.24,251.78
1,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2007,160.48,3.4,205.61,3.3,não cactus,2017,Grupo 2,226.24,251.78
2,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2009,268.85,6.7,332.84,5.7,não cactus,2017,Grupo 2,226.24,251.78
3,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2011,180.6,4.5,231.44,4.2,não cactus,2017,Grupo 2,226.24,251.78
4,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2013,255.21,6.9,,,não cactus,2017,Grupo 2,226.24,251.78
5,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2015,236.83,6.8,233.97,4.4,não cactus,2017,Grupo 2,226.24,251.78
6,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2017,226.24,6.2,251.78,5.1,não cactus,2017,Grupo 2,226.24,251.78
7,CE,2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2019,240.92,6.8,252.62,5.0,não cactus,2017,Grupo 2,226.24,251.78
8,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2005,,,,,não cactus,2017,,257.23,225.77
9,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2007,,,,,não cactus,2017,,257.23,225.77
10,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2009,225.71,5.5,,,não cactus,2017,,257.23,225.77
11,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2011,204.55,5.2,291.3,4.9,não cactus,2017,,257.23,225.77
12,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2013,,,,,não cactus,2017,,257.23,225.77
13,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2015,,,,,não cactus,2017,,257.23,225.77
14,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2017,257.23,6.8,225.77,4.3,não cactus,2017,,257.23,225.77
15,CE,2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2019,232.75,6.4,244.7,4.7,não cactus,2017,,257.23,225.77
16,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2005,,,219.79,3.4,não cactus,2017,Grupo 2,213.09,228.67
17,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2007,167.13,3.5,,,não cactus,2017,Grupo 2,213.09,228.67
18,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2009,253.3,6.4,,,não cactus,2017,Grupo 2,213.09,228.67
19,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2011,239.04,6.2,257.24,4.4,não cactus,2017,Grupo 2,213.09,228.67
20,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2013,262.47,7.2,251.61,4.4,não cactus,2017,Grupo 2,213.09,228.67
21,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2015,196.32,5.1,220.25,3.9,não cactus,2017,Grupo 2,213.09,228.67
22,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2017,213.09,5.5,228.67,4.2,não cactus,2017,Grupo 2,213.09,228.67
23,CE,2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2019,221.67,5.8,237.82,4.2,não cactus,2017,Grupo 2,213.09,228.67
24,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2005,,,,,não cactus,2017,,225.9,229.74
25,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2007,,,,,não cactus,2017,,225.9,229.74
26,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2009,154.54,3.1,216.63,3.0,não cactus,2017,,225.9,229.74
27,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2011,213.24,5.2,,,não cactus,2017,,225.9,229.74
28,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2013,173.55,4.0,,,não cactus,2017,,225.9,229.74
29,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2015,,,,,não cactus,2017,,225.9,229.74
30,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2017,225.9,5.9,229.74,4.5,não cactus,2017,,225.9,229.74
31,CE,2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2019,213.32,5.5,252.55,4.9,não cactus,2017,,225.9,229.74
32,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2005,,,,,não cactus,2017,Grupo 2,203.62,263.15
33,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2007,,,,,não cactus,2017,Grupo 2,203.62,263.15
34,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2009,146.25,2.6,,,não cactus,2017,Grupo 2,203.62,263.15
35,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2011,184.61,4.0,,,não cactus,2017,Grupo 2,203.62,263.15
36,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2013,,,242.62,4.3,não cactus,2017,Grupo 2,203.62,263.15
37,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2015,209.48,5.6,240.6,4.5,não cactus,2017,Grupo 2,203.62,263.15
38,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2017,203.62,5.2,263.15,4.8,não cactus,2017,Grupo 2,203.62,263.15
39,CE,2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2019,212.38,5.5,238.11,4.4,não cactus,2017,Grupo 2,203.62,263.15
40,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2005,,,,,não cactus,2017,,225.22,269.16
41,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2007,,,,,não cactus,2017,,225.22,269.16
42,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2009,,,,,não cactus,2017,,225.22,269.16
43,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2011,,,,,não cactus,2017,,225.22,269.16
44,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2013,,,,,não cactus,2017,,225.22,269.16
45,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2015,,,,,não cactus,2017,,225.22,269.16
46,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2017,225.22,6.2,269.16,5.3,não cactus,2017,,225.22,269.16
47,CE,2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2019,231.09,6.2,270.76,4.8,não cactus,2017,,225.22,269.16
48,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2005,,,,,não cactus,2017,Grupo 2,219.94,252.61
49,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2007,162.04,2.6,,,não cactus,2017,Grupo 2,219.94,252.61
50,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2009,180.57,3.8,,,não cactus,2017,Grupo 2,219.94,252.61
51,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2011,208.48,4.9,,,não cactus,2017,Grupo 2,219.94,252.61
52,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2013,198.74,4.6,,,não cactus,2017,Grupo 2,219.94,252.61
53,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2015,,,273.76,5.0,não cactus,2017,Grupo 2,219.94,252.61
54,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2017,219.94,5.8,252.61,4.9,não cactus,2017,Grupo 2,219.94,252.61
55,CE,2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2019,232.54,6.0,264.41,5.2,não cactus,2017,Grupo 2,219.94,252.61
56,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2005,,,,,não cactus,2017,,245.48,302.3
57,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2007,,,,,não cactus,2017,,245.48,302.3
58,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2009,,,237.02,3.4,não cactus,2017,,245.48,302.3
59,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2011,210.86,5.2,249.11,4.2,não cactus,2017,,245.48,302.3
60,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2013,,,245.56,4.0,não cactus,2017,,245.48,302.3
61,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2015,,6.1,,6.2,não cactus,2017,,245.48,302.3
62,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2017,245.48,6.5,302.3,5.8,não cactus,2017,,245.48,302.3
63,CE,2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2019,249.99,6.7,307.29,5.8,não cactus,2017,,245.48,302.3
64,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2005,,,,,não cactus,2017,Grupo 1,237.46,265.57
65,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2007,,,,,não cactus,2017,Grupo 1,237.46,265.57
66,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2009,165.9,3.3,204.43,3.1,não cactus,2017,Grupo 1,237.46,265.57
67,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2011,190.79,4.4,208.5,3.0,não cactus,2017,Grupo 1,237.46,265.57
68,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2013,181.13,4.4,230.81,4.0,não cactus,2017,Grupo 1,237.46,265.57
69,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2015,212.05,5.5,,,não cactus,2017,Grupo 1,237.46,265.57
70,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2017,237.46,6.5,265.57,5.2,não cactus,2017,Grupo 1,237.46,265.57
71,CE,2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2019,239.13,6.5,251.85,4.8,não cactus,2017,Grupo 1,237.46,265.57
72,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2005,,,,,cactus19,2017,Grupo 2,287.58,299.0
73,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2007,,,,,cactus19,2017,Grupo 2,287.58,299.0
74,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2009,,,238.38,3.9,cactus19,2017,Grupo 2,287.58,299.0
75,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2011,224.14,5.7,235.0,4.1,cactus19,2017,Grupo 2,287.58,299.0
76,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2013,,,258.97,4.9,cactus19,2017,Grupo 2,287.58,299.0
77,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2015,224.03,5.9,254.38,4.9,cactus19,2017,Grupo 2,287.58,299.0
78,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2017,287.58,8.5,299.0,5.6,cactus19,2017,Grupo 2,287.58,299.0
79,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2019,289.02,8.1,316.14,6.6,cactus19,2017,Grupo 2,287.58,299.0
80,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2005,,,,,não cactus,2017,,260.89,315.61
81,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2007,,,,,não cactus,2017,,260.89,315.61
82,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2009,,,,,não cactus,2017,,260.89,315.61
83,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2011,,,,,não cactus,2017,,260.89,315.61
84,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2013,220.61,5.6,,,não cactus,2017,,260.89,315.61
85,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2015,,,,,não cactus,2017,,260.89,315.61
86,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2017,260.89,7.4,315.61,6.7,não cactus,2017,,260.89,315.61
87,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2019,,,,,não cactus,2017,,260.89,315.61
88,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2005,,,,,cactus19,2017,Grupo 2,237.24,297.01
89,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2007,,,,,cactus19,2017,Grupo 2,237.24,297.01
90,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2009,184.05,4.1,232.26,3.6,cactus19,2017,Grupo 2,237.24,297.01
91,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2011,190.58,3.9,242.88,3.8,cactus19,2017,Grupo 2,237.24,297.01
92,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2013,209.36,4.6,247.31,3.8,cactus19,2017,Grupo 2,237.24,297.01
93,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2015,226.39,4.9,266.9,4.6,cactus19,2017,Grupo 2,237.24,297.01
