Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,cactus,Código da CREDE,CREDE,Escola,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,Muito Crítico,Crítico,Intermediário,Adequado,Alunos Previstos,Alunos Efetivos,Percentual de Participação,Taxa de Participação,Proficiência Padronizada,Fator de Ajuste,Número de Alunos no Muito Crítico,Número de Alunos no Crítico,Número de Alunos no Intermediário,Número de Alunos no Adequado,IDE EF MT,IDE Médio EF
2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2017,226.24,6.2,251.78,5.1,não cactus,20,BREJO SANTO,CORONEL HUMBERTO BEZERRA EEIF,238.34335810460999,45.4015076347982,Crítico,40,36.6666666666667,20,3.3333333333333299,30,30,100,1,3.1671679052305102,0.46666666666666701,12,11,6,1,1.4780116891075701,2.2080247696773299
2300101,Abaiara,23168862,Coronel Humberto Bezerra Eeif,Municipal,2019,240.92,6.8,252.62,5,não cactus,20,BREJO SANTO,CORONEL HUMBERTO BEZERRA EEIF,247.25719617507201,38.1233349803042,Crítico,23.8095238095238,57.142857142857103,19.047619047619001,0,21,21,100,1,3.6128598087536101,0.48809523809523803,5,12,4,0,1.7634196685583099,2.6056666295965498
2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2017,257.23,6.8,225.77,4.3,não cactus,20,BREJO SANTO,MARIA OLIVEIRA SANTOS EEIF,229.41125921216101,42.966972128064299,Crítico,53.3333333333333,26.6666666666667,20,0,15,15,100,1,2.7205629606080701,0.41666666666666702,8,4,3,0,1.1335679002533601,1.7039205207204999
2300101,Abaiara,23168951,Maria Oliveira Santos Eeif,Municipal,2019,232.75,6.4,244.7,4.7,não cactus,20,BREJO SANTO,MARIA OLIVEIRA SANTOS EEIF,266.32058607891798,44.415588054808602,Crítico,16.6666666666667,50,16.6666666666667,16.6666666666667,12,12,100,1,4.5660293039459097,0.58333333333333304,2,6,2,2,2.66351709396845,2.7144272343728302
2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2017,213.09,5.5,228.67,4.2,não cactus,20,BREJO SANTO,ROSA TAVARES LEITE EEIF,227.20516480993999,42.649067529721897,Crítico,52.631578947368403,31.578947368421101,15.789473684210501,0,36,38,105.555555555556,1,2.6102582404969898,0.40789473684210498,20,12,6,0,1.0647105980974501,1.57987745512405
2300101,Abaiara,23169001,Rosa Tavares Leite Eeif,Municipal,2019,221.67,5.8,237.82,4.2,não cactus,20,BREJO SANTO,ROSA TAVARES LEITE EEIF,249.05688224505599,51.825048298071202,Crítico,40.425531914893597,29.787234042553202,21.2765957446809,8.5106382978723403,45,47,104.444444444444,1,3.70284411225277,0.49468085106382997,19,14,10,4,1.8317260768058901,1.944979526507
2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2017,225.9,5.9,229.74,4.5,não cactus,8,BATURITE,ANACLETO CARLOS CAVALCANTE E E F,237.72945959765701,34.054595663014098,Crítico,43.75,43.75,12.5,0,16,16,100,1,3.1364729798828699,0.421875,7,7,2,0,1.3231995383880799,2.3011936762288099
2300150,Acarape,23051710,Anacleto Carlos Cavalcante E E F,Municipal,2019,213.32,5.5,252.55,4.9,não cactus,8,BATURITE,ANACLETO CARLOS CAVALCANTE E E F,249.691036465276,39.170904928374398,Crítico,33.3333333333333,44.4444444444444,22.2222222222222,0,9,9,100,1,3.73455182326378,0.47222222222222199,3,4,2,0,1.7635383609856801,2.9370263460877299
2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2017,203.62,5.2,263.15,4.8,não cactus,8,BATURITE,ANTONIO CORREIA DE CASTRO E E F,255.854910698933,33.1941051873535,Crítico,22.2222222222222,50,27.7777777777778,0,17,18,105.88235294117599,1,4.0427455349466497,0.51388888888888895,4,9,5,0,2.07752201101425,2.7805067114759399
2300150,Acarape,23051728,Antonio Correia De Castro E E F,Municipal,2019,212.38,5.5,238.11,4.4,não cactus,8,BATURITE,ANTONIO CORREIA DE CASTRO E E F,226.468416801942,38.670947244163798,Crítico,41.176470588235297,47.058823529411796,11.764705882352899,0,21,17,80.952380952380906,0.80952380952380998,2.5734208400970999,0.42647058823529399,7,8,2,0,0.88844290908114099,1.67944964417159
2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2017,225.22,6.2,269.16,5.3,não cactus,8,BATURITE,ANTONIO MARINHEIRO E E F,256.21694393751699,43.528721024531599,Crítico,35.714285714285701,28.571428571428601,28.571428571428601,7.1428571428571397,14,14,100,1,4.0608471968758604,0.51785714285714302,5,4,4,1,2.1029387269535702,3.2375336066587499
2300150,Acarape,23051744,Antonio Marinheiro E E F,Municipal,2019,231.09,6.2,270.76,4.8,não cactus,8,BATURITE,ANTONIO MARINHEIRO E E F,245.30196768946701,30.579713385039099,Crítico,38.461538461538503,38.461538461538503,23.076923076923102,0,12,13,108.333333333333,1,3.5150983844733701,0.46153846153846201,5,5,3,0,1.62235310052617,2.9524327006815798
2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2017,204.11,5.2,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300150,Acarape,23051752,Francisco Rocha Ramos E E F,Municipal,2019,194.57,4.8,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2017,219.94,5.8,252.61,4.9,não cactus,8,BATURITE,HUMBERTO DE CAMPOS E E F,252.94604107031699,48.537956390226199,Crítico,25,37.5,25,12.5,15,16,106.666666666667,1,3.8973020535158698,0.5625,4,6,4,2,2.19223240510268,2.87966526230562
2300150,Acarape,23051787,Humberto De Campos E E F,Municipal,2019,232.54,6,264.41,5.2,não cactus,8,BATURITE,HUMBERTO DE CAMPOS E E F,262.49171209844701,27.819754392493099,Crítico,7.1428571428571397,57.142857142857103,35.714285714285701,0,14,14,100,1,4.3745856049223599,0.57142857142857095,1,8,5,0,2.4997632028127801,3.3267517833287998
2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2017,NA,NA,NA,NA,não cactus,8,BATURITE,PADRE CRISOSTOMO EEF,263.405953583013,49.6900534725347,Crítico,22.093023255814,38.3720930232558,26.744186046511601,12.790697674418601,138,86,62.318840579710098,0.623188405797101,4.4202976791506599,0.57558139534883701,19,33,23,11,1.58554155882578,2.0640973344029598
2300150,Acarape,23051817,Padre Crisostomo Eef,Municipal,2019,NA,NA,273.49,4.6,não cactus,8,BATURITE,PADRE CRISOSTOMO EEF,257.11639337395297,45.243522525579003,Crítico,25.6410256410256,38.461538461538503,29.4871794871795,6.4102564102564097,78,78,100,1,4.1058196686976398,0.54166666666666696,20,30,23,5,2.2239856538778899,3.1772740458406799
2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2017,241.76,6.7,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300150,Acarape,23051906,Raimundo Alves E E F,Municipal,2019,217.56,5.3,248.95,4.4,não cactus,8,BATURITE,RAIMUNDO ALVES E E F,242.67747894177501,18.561889259014901,Crítico,15.384615384615399,76.923076923076906,7.6923076923076898,0,13,13,100,1,3.38387394708877,0.480769230769231,2,10,1,0,1.62686247456191,2.69259014368548
2300150,Acarape,23253940,Jose Neves De Castro Eef,Municipal,2017,215.38,5.8,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300150,Acarape,23253940,Jose Neves De Castro Eef,Municipal,2019,225.62,6.1,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000031,Albertina Elisa De Moura Chaves Eeief,Municipal,2017,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000031,Albertina Elisa De Moura Chaves Eeief,Municipal,2019,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2017,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2019,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2017,255.5,7.1,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2019,273.86,7.8,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2017,245.48,6.5,302.3,5.8,não cactus,3,ACARAU,ARISTIDES FLORIANO DE OLIVEIRA EEIEF,291.25623554432298,58.576512007305297,Intermediário,15.384615384615399,38.461538461538503,15.384615384615399,30.769230769230798,13,13,100,1,5.8128117772161296,0.65384615384615397,2,5,2,4,3.8006846235643899,3.8089090162024601
2300200,Acaraú,23000104,Aristides Floriano De Oliveira Eeief,Municipal,2019,249.99,6.7,307.29,5.8,não cactus,3,ACARAU,ARISTIDES FLORIANO DE OLIVEIRA EEIEF,320.56312483244199,44.469666432519297,Intermediário,4.7619047619047601,19.047619047619001,9.5238095238095202,66.6666666666667,21,21,100,1,7.2781562416221002,0.84523809523809501,1,4,2,14,6.1517749185139197,6.1327802863491199
2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2017,237.46,6.5,265.57,5.2,não cactus,3,ACARAU,CAROLINO LOPES ARAUJO EEIEF,283.722198367896,40.2112193482523,Intermediário,10.3448275862069,31.034482758620701,48.275862068965502,10.3448275862069,29,29,100,1,5.4361099183947799,0.64655172413793105,3,9,14,3,3.5147262403414499,4.10651443624851
2300200,Acaraú,23000147,Carolino Lopes Araujo Eeief,Municipal,2019,239.13,6.5,251.85,4.8,não cactus,3,ACARAU,CAROLINO LOPES ARAUJO EEIEF,262.75805722807701,47.496813229233297,Crítico,22.2222222222222,33.3333333333333,33.3333333333333,11.1111111111111,17,18,105.88235294117599,1,4.3879028614038402,0.58333333333333304,4,6,6,2,2.5596100024855701,3.1622590027656798
2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2017,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000163,Antonio Alves De Freitas Eeief,Municipal,2019,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2017,282.36,7.9,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000171,Antonio Lino Rodrigues Eeief,Municipal,2019,218.58,5.5,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2017,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000260,Expedito Jose De Freitas Eeief,Municipal,2019,289.35,8.3,308.86,6.7,não cactus,3,ACARAU,EXPEDITO JOSE DE FREITAS EEIEF,342.802109267981,40.487446159777903,Adequado,0,4.5454545454545503,27.272727272727298,68.181818181818201,20,22,110,1,8.3901054633990402,0.90909090909090895,0,1,6,15,7.6273686030900398,6.9343303631712603
2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2017,245.63,6.8,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000317,Francisca Isaura Rios Rocha Eeief,Municipal,2019,252.72,7,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2017,231.94,6.1,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000392,Rosa Ferreira Dias Eeief,Municipal,2019,238.59,6.8,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2017,244.14,6.6,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2019,266.53,7.3,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2017,287.58,8.5,299,5.6,cactus19,3,ACARAU,JOAO DOMINGUES DE SOUSA EEIEF,365.40344953277997,20.218647956298,Adequado,0,0,0,100,12,12,100,1,9.5201724766389901,1,0,0,0,12,9.5201724766389901,8.6447623340966704
2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2019,289.02,8.1,316.14,6.6,cactus19,3,ACARAU,JOAO DOMINGUES DE SOUSA EEIEF,383.41785621890801,16.742524931973001,Adequado,0,0,0,100,21,21,100,1,10,1,0,0,0,21,10,8.4240758822046509
2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2017,260.89,7.4,315.61,6.7,não cactus,3,ACARAU,JOAO LOURENCO PEREIRA ROCHA EEIEF,342.59455355665801,39.701991771048398,Adequado,2.9411764705882399,0,32.352941176470601,64.705882352941202,34,34,100,1,8.3797276778329106,0.89705882352941202,1,0,11,22,7.5171086521736399,6.81100176437677
2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2019,NA,NA,NA,NA,não cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2017,237.24,6.3,297.01,6.1,cactus19,3,ACARAU,JOAO RIBEIRO RAMOS EEIEF,282.80522742794102,45.551840801189002,Intermediário,7.6923076923076898,38.461538461538503,26.923076923076898,26.923076923076898,26,26,100,1,5.39026137139704,0.68269230769230804,2,10,7,7,3.6798899747037499,4.3672294566339103
2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2019,237.17,5.5,276.11,5.2,cactus19,3,ACARAU,JOAO RIBEIRO RAMOS EEIEF,321.19735449070498,49.537022134127703,Intermediário,2.9411764705882399,20.588235294117599,8.8235294117647101,67.647058823529406,31,34,109.677419354839,1,7.3098677245352599,0.85294117647058798,1,7,3,23,6.2348871768094902,4.7711828442309798
2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2017,213.12,5.8,280.36,5.5,não cactus,3,ACARAU,JOAQUIM JOSE RODRIGUES EEIEF,286.43043838995601,56.140440677741601,Intermediário,12.5,33.3333333333333,29.1666666666667,25,24,24,100,1,5.5715219194977799,0.66666666666666696,3,8,7,6,3.7143479463318601,3.6452511184953398
2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2019,270.83,7.3,278.16,5.7,não cactus,3,ACARAU,JOAQUIM JOSE RODRIGUES EEIEF,294.15462269991701,43.806123516244902,Intermediário,0,47.619047619047599,19.047619047619001,33.3333333333333,18,21,116.666666666667,1,5.9577311349958704,0.71428571428571397,0,10,4,7,4.2555222392827599,4.4781905821896801
2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2017,237.94,6.8,242.15,4.7,não cactus,3,ACARAU,JOAQUIM TIAGO DO NASCIMENTO EEIEF,244.810063181088,32.082769142566498,Crítico,20,70,10,0,10,10,100,1,3.4905031590544202,0.47499999999999998,2,7,1,0,1.65798900055085,2.4874003672863298
2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2019,249.08,6.4,NA,NA,não cactus,3,ACARAU,JOAQUIM TIAGO DO NASCIMENTO EEIEF,274.09143895229101,62.104990352723199,Crítico,30,30,20,20,10,10,100,1,4.9545719476145704,0.57499999999999996,3,3,2,2,2.84887886987838,3.1897448545119498
2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2017,197.92,5.3,254.55,4.7,cactus19,3,ACARAU,DEPUTADO JOSE FILOMENO EEIEF,250.32502779833899,48.2734859833364,Crítico,36.1111111111111,36.1111111111111,16.6666666666667,11.1111111111111,34,36,105.88235294117599,1,3.7662513899169698,0.50694444444444398,13,13,6,4,1.9092802184995801,3.1933545931849099
2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2019,242.85,6.4,265.55,5,cactus19,3,ACARAU,DEPUTADO JOSE FILOMENO EEIEF,266.969050755468,52.418486500050598,Crítico,27.027027027027,21.6216216216216,37.837837837837803,13.5135135135135,34,37,108.82352941176499,1,4.5984525377734196,0.59459459459459496,10,8,14,5,2.7342150224598698,3.6067884515679398
2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2017,239.67,6.7,280.91,5.5,cactus19,3,ACARAU,MANOEL EDGAR DA SILVEIRA EEIEF,282.21021597760898,42.664162772601102,Intermediário,10.714285714285699,32.142857142857103,39.285714285714299,17.8571428571429,55,56,101.818181818182,1,5.3605107988804601,0.66071428571428603,6,18,22,10,3.54176606354602,3.9188869337041101
2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2019,263.64,7.5,289.94,5.9,cactus19,3,ACARAU,MANOEL EDGAR DA SILVEIRA EEIEF,279.534862288684,54.317220895457403,Intermediário,19.2982456140351,29.824561403508799,29.824561403508799,21.052631578947398,57,57,100,1,5.22674311443419,0.63157894736842102,11,17,17,12,3.3011009143794898,4.4479859598020299
