ID_ESCOLA,urbano17
23168862,1
23168951,2
23169001,1
23051710,2
23051728,2
23051744,2
23051752,1
23051787,2
23051906,2
23253940,1
61229040,1
23000074,2
23000104,2
23000147,2
23000171,2
23000317,1
23000392,1
23000422,1
23000449,2
23000465,2
23000473,2
23000481,2
23000490,2
23000520,1
23000562,2
23000570,2
23000651,1
23000660,2
23000708,1
23000791,1
23000830,2
23000910,2
23000929,2
23000945,2
23000953,2
23000988,2
23001054,1
23001070,1
23001100,2
23176016,2
23219610,1
23253215,1
23253231,1
23317213,1
23111305,2
23111577,2
23111674,1
23111810,1
23111917,2
23111925,1
23111933,1
23111984,1
23111992,2
23112042,1
23112115,2
23112204,1
23112360,2
23112387,2
23112638,2
23112875,2
23113090,2
23113146,2
23113359,2
23113979,2
23114070,2
23114185,2
23114231,2
23114304,2
23176571,1
23104228,2
23104414,2
23104899,2
23104953,1
23105062,2
23105380,2
23105488,2
61200828,2
23016868,2
23016930,1
23016973,2
23016990,2
23017007,2
23017015,1
23017082,2
23017244,2
23267801,2
23155671,1
23155744,2
23263768,1
23125845,2
23126019,2
23126108,2
23126272,1
23126400,1
23126485,2
23203510,2
23228237,1
23273232,1
23336013,1
23034025,2
23034114,1
23034122,2
23034130,2
23034165,2
23034343,2
23034378,2
23034416,2
23034440,1
23034548,2
23034564,2
23034572,2
23034629,2
23034742,2
23034793,2
23034823,1
23034920,2
23034955,1
23034963,2
23035013,2
23035056,2
23035080,2
23035145,1
23035188,2
23035200,2
23035226,1
23035382,2
23035412,1
23035455,2
23035609,2
23202572,2
23202610,2
23216336,2
23227966,2
23230193,1
23230207,2
23247282,2
23247290,2
23247401,2
23247436,1
23441631,1
23494980,2
61190363,2
61235036,1
23145366,1
23145447,1
23044110,1
23044209,2
23044268,2
23044462,2
23044705,2
23229691,1
23060905,1
23060956,1
23060999,2
23061022,1
23061049,2
23061057,2
23061073,1
23061081,2
23061146,1
23061162,2
23061189,2
23061197,2
23061251,1
23061278,2
23061294,2
23061413,2
23061430,1
23061448,2
23061618,1
23061626,1
23061634,1
23061685,1
23061723,2
23061758,2
23061774,1
23061790,2
23061804,1
23061847,2
23061855,2
23061910,2
23176423,1
23204141,1
23204150,2
23248750,1
23262672,2
23564385,2
23123931,2
23123974,1
23124024,2
23124075,2
23124083,2
23124113,1
23124199,2
23124210,2
23124229,2
23124300,2
23124369,1
23124377,2
23124423,2
23124466,2
23124474,1
23124539,1
23124555,2
23124563,2
23124601,1
23124687,2
23124709,2
23124741,2
23202831,2
23202840,1
23202866,1
23202947,1
23462132,1
23051922,1
23051981,2
23052015,2
23052120,2
23052279,1
23052287,1
23052350,2
23052368,2
23052384,2
23052503,2
23052511,2
23052520,2
23178221,2
23248912,1
23084685,2
23084707,1
23084766,1
23084804,1
23084847,2
23084952,2
23177071,1
23151773,1
23151889,1
23152036,1
23152060,2
23152095,2
23152133,1
23211040,1
23246685,2
23461918,1
23052740,2
23052813,2
23052945,2
