id_escola,nome_escola,ano,nota_matematica,ideb,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF,reprovacao,carro,superior,porc_sexo_masc,porc_cor_prePar,cactus,ID_MUNICIPIO,ano_cactus
23168862,CORONEL HUMBERTO BEZERRA EEIF,2015,233.97,4.4,3,1,Médio Baixo,23,0.2857142857142857,0.22727272727272727,0.043478260869565216,0.7391304347826086,0.6818181818181818,0,2300101,0
23168862,CORONEL HUMBERTO BEZERRA EEIF,2017,251.78,5.1,3,1,Grupo 2,30,0.1,0.2413793103448276,0.03333333333333333,0.4482758620689655,0.5666666666666667,0,2300101,0
23168862,CORONEL HUMBERTO BEZERRA EEIF,2019,252.62,5,3,1,Nível III,22,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.5909090909090909,0.5,0,2300101,0
23168951,MARIA OLIVEIRA SANTOS EEIF,2017,225.77,4.3,3,2,NA,16,0.06666666666666667,0.2,0.06666666666666667,0.35714285714285715,0.8666666666666667,0,2300101,0
23168951,MARIA OLIVEIRA SANTOS EEIF,2019,244.7,4.7,3,2,Nível II,13,0,0.36363636363636365,0.09090909090909091,0.5384615384615384,0.5384615384615384,0,2300101,0
23169001,ROSA TAVARES LEITE EEIF,2013,251.61,4.4,3,1,Grupo 2,38,0.23684210526315788,0.08108108108108109,0.13636363636363635,0.6296296296296297,0.8333333333333334,0,2300101,0
23169001,ROSA TAVARES LEITE EEIF,2015,220.25,3.9,3,1,Baixo,30,0.2,0.13793103448275862,0.13793103448275862,0.5925925925925926,0.6551724137931034,0,2300101,0
23169001,ROSA TAVARES LEITE EEIF,2017,228.67,4.2,3,1,Grupo 2,44,0.1,0.34146341463414637,0.04878048780487805,0.5526315789473685,0.6341463414634146,0,2300101,0
23169001,ROSA TAVARES LEITE EEIF,2019,237.82,4.2,3,1,Nível III,53,0.13333333333333333,0.35555555555555557,0.06666666666666667,0.4905660377358491,0.8301886792452831,0,2300101,0
23051710,ANACLETO CARLOS CAVALCANTE E E F,2017,229.74,4.5,3,2,NA,16,0.06666666666666667,0.1875,0,0.625,1,0,2300150,0
23051710,ANACLETO CARLOS CAVALCANTE E E F,2019,252.55,4.9,3,2,Nível III,10,0.2,0.3,0.1,0.8,1,0,2300150,0
23051728,ANTONIO CORREIA DE CASTRO E E F,2013,242.62,4.3,3,2,Grupo 3,27,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.5,0.8571428571428571,0,2300150,0
23051728,ANTONIO CORREIA DE CASTRO E E F,2015,240.6,4.5,3,2,Médio Baixo,22,0.34782608695652173,0.2608695652173913,0.13043478260869565,0.30434782608695654,0.9565217391304348,0,2300150,0
23051728,ANTONIO CORREIA DE CASTRO E E F,2017,263.15,4.8,3,2,Grupo 2,17,0.125,0.26666666666666666,0,0.625,0.75,0,2300150,0
23051728,ANTONIO CORREIA DE CASTRO E E F,2019,238.11,4.4,3,2,Nível III,17,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.4117647058823529,0.5294117647058824,0,2300150,0
23051744,ANTONIO MARINHEIRO E E F,2017,269.16,5.3,3,2,NA,15,0,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.7857142857142857,0,2300150,0
23051744,ANTONIO MARINHEIRO E E F,2019,270.76,4.8,3,2,Nível II,12,0.3333333333333333,0.08333333333333333,0,0.5833333333333334,0.9166666666666666,0,2300150,0
23051787,HUMBERTO DE CAMPOS E E F,2015,273.76,5,3,2,Médio Baixo,20,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.7222222222222222,0,2300150,0
23051787,HUMBERTO DE CAMPOS E E F,2017,252.61,4.9,3,2,Grupo 2,15,0,0.26666666666666666,0.06666666666666667,0.5,0.9333333333333333,0,2300150,0
23051787,HUMBERTO DE CAMPOS E E F,2019,264.41,5.2,3,2,Nível II,14,0.5384615384615384,0.23076923076923078,0,0.3571428571428572,0.8571428571428571,0,2300150,0
23051817,PADRE CRISOSTOMO EEF,2013,233.08,3,3,1,Grupo 3,106,0.23684210526315788,0.10752688172043011,0.056179775280898875,0.358695652173913,0.7021276595744681,0,2300150,0
